,remark,price,title,flavour,environment,service
410,386,74,蓉城江北老灶火锅(春熙路店),,,
411,119,79,红瓦房火锅(春熙路王府井店),,,
412,10,,春熙里老火锅,,,
413,31,119,川家铺子火锅,,,
414,202,89,大道川西坝子火锅(春熙路店),,,
415,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),,,
416,276,68,锦园火锅,,,
417,4,,大龙火锅,,,
418,26,40,逗士香砂锅串串,,,
419,1,,醉城都火锅(香槟广场店),,,
420,2,,四川宾馆南楼,,,
421,1,,小涮锅,,,
422,12,,大蜀龙门火锅(春熙总店),,,
423,339,65,雷火锅新派串串(太古里店),,,
424,428,79,龍爷翻大江老火锅(春熙路总店),,,
425,203,73,红花椒新火锅(春熙路店),,,
426,118,81,摆渡人老火锅铺,,,
427,683,80,蜀仙里火锅(太古里店),,,9.1
428,664,81,大院火老火锅(春熙路店),,,9.1
429,2309,78,逸南山鲜毛肚火锅,,,8.4
430,702,111,大侠行江湖火锅(春熙店),,,9.0
431,1515,81,蜀韵蜀味火锅(春熙店),,,8.9
432,488,67,华兴九号辣铺(春熙总店),,,9.0
433,1460,95,蜀小匠牛排火锅(春熙路总店),,,8.3
434,1244,86,醉码头火锅(春熙路店),,,8.6
435,278,96,鲜炎·炭火火锅,,,8.1
436,1260,75,码头故事火锅(春熙路店),,,8.9
437,3437,84,凤望龙门老火锅(春熙店),,,8.6
438,1416,69,有拈头成都市井火锅(太古里店),,,7.7
439,1266,78,凤望龙门老火锅(盐市口概念店),,,8.6
440,2139,90,春熙里老火锅(春熙总店),,,8.6
441,1182,78,重庆袁老四老火锅(香槟店),,,7.8
442,280,125,大妙火锅(太古里店),,,8.4
443,3323,88,巴蜀大将火锅(春熙店),,,8.5
444,82,76,小春熙老火锅(春熙路店),,,8.7
445,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),,,8.8
446,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),,,8.8
447,2535,83,重庆袁老四老火锅(东升店),,,7.8
448,1707,84,巴蜀大将火锅(IFS店),,,8.8
449,1045,91,牛莽莽老火锅(银石广场店),,,8.4
450,112,63,蜀财神火锅,,,8.9
451,807,81,重庆袁老四老火锅(太古里店),,,8.1
452,552,82,谭鸭血老火锅(王府井直营店),,,7.4
453,528,102,梨园火锅(兰桂坊店),,,8.6
454,1721,80,蜀胡记川西坝子(东门大桥店),,,8.9
455,1187,73,蛙三泡椒牛蛙(春熙银石店),,,8.1
456,1474,76,龙幺妹老火锅(香槟广场店),,,8.4
457,530,63,竹板凳老火锅(春熙店),,,8.6
458,505,59,拿东拿西自助火锅(春熙路店),,,8.2
459,69,58,大蜀龙门火锅(红星路二段总店),,,8.3
460,58,75,五斗柴火锅鲜生(太古里店),,,8.4
461,59,62,灶王爷石锅老火锅,,,8.5
462,340,82,蜀国大师(盐市口店),,,8.8
463,641,88,红鼎坊(总店),,,7.9
